WT	DO	BOD	COD	TOC	pH	Cond	SS
5.4	14	4.7	8.7	4.9	8	530	6.4
3.1	15.6	5.9	12.1	7.1	8	554	16
3.271429	16.957142	4.3	11.071428	6.128572	8.685714	527.571411	18.228571
5.242857	16.128571	5.257143	10.957144	7.128572	8.5	535.714294	20.799999
7.95	14.375	4.65	8.700001	5.8	8.15	488.25	24
9.542857	13.771429	5.314286	8.928572	5.414286	8.071428	347.571442	18.799999
12.128572	11.542857	3.114286	6.571429	3.171429	7.2	259.285706	21.714285
16.6	12.9	5	8.1	2.4	9	294	6.4
21.83	12.22	6.97	7.13	4.41	8.36	284.700012	11.440001
23.5625	9.35	3.85	10.125	6.4	7.8625	358.75	9.35
25.700001	11.5	5.7	12.2	7	8.9	154	17.6
26.771429	9.785714	5.857142	14.057143	7.9	8.485714	244.714279	16.171429
27.214285	10.685714	5.071428	10.4	4.814286	8.171429	138.714279	22.228573
28.799999	11.3	6.6	8	3.7	8.3	151	14
30.428572	9.4	9.099999	10.542857	6.771429	8.685715	280.571442	13.885715
28.642857	7.485714	1.842857	6.057143	4.442857	7.685714	145.571426	9.257142
23.025	8.212501	1.1125	4.4875	4.35	7.45	103.75	13.700001
23.6	9.757143	2.571429	5.457143	2.914286	7.557143	179.571426	5.542857
21.185715	9.271428	2.828571	6.671429	3.214286	8.2	205.571426	7.257143
17.5	11.042857	4.242857	7.178572	3.842857	7.75	307.642853	9.314286
12.9	10.2	4.1	6.8	3.4	7.8	332	9.2
8.5	12.6	4.2	5.3	4.2	7.4	332	6.8
7.2	11.442857	4.1	5.371428	3.471429	6.542857	359.428558	6.914286
6.5	10.6	6.7	5.8	3.3	6.8	284	14.4
2.314286	16.685715	1.228571	4.4	2.214286	6.957143	487.285706	3.485714
7.942858	15.914286	3.142857	5.371429	3.485714	7.485714	390.714294	4.628572
3.166667	13.25	2.2	4.9	2.966667	7.833333	311.166656	5.4
6.7	9.5	2.8	5	4.4	6.7	258	2.8
10.474999	15.3625	5.3875	9.375	3.3875	8.85	259.875	19.899998
11.157143	11.228571	6.528572	6.328571	3.371428	7.8	207.142853	12.114286
13.785714	11.528571	3.6	7	3.442857	8.071428	307.142853	8.171429
15.914286	9.685715	4.128572	7.942857	6.142857	7.8	334.857147	5.428572
19	15	4.9	10.6	4.6	9	316	11.6
20.911112	7.522222	4.188889	8.144444	5.033333	7.222222	292.333344	12.8
25.799999	9.2	4.8	9	4.7	7.6	242	48.400002
28.357143	10.585714	3.585714	8.942858	4.628572	8.328571	179.857147	8.685715
24.914286	9.142857	1.8	5.585714	3.057143	7.228571	125	25.371429
28.4	7.4625	4.0375	6.4625	3.2875	7.425	264	9.35
32.200001	11.1	3.3	11.9	4.7	9.3	229	17.6
27.800001	9.428572	0.842857	6.671429	3.814286	7.614285	134.428574	9.6
25.4	14.6	4.7	6.8	3.1	8.8	244	8.4
26.174999	10.225	2.6	6.65	3.175	8.55	224.25	6.9
23.385715	10.842856	3.528571	6.657143	3.228571	8.4	254.142853	7.542857
18.950001	13.066667	3.65	7	3.5	7.683333	285.5	10.533333
12.771428	10.771429	4.257143	6.757143	3.171429	7.742857	267.285706	11.2
9.757143	11.728571	3.442857	6.014286	3.314286	7.714286	277	12.571429
8.414286	10.814285	2.5	5.814286	3.114286	7.571428	329.571442	6.285714
6.4875	13.0125	3.2625	6.0375	3.0125	7.725	417.5	5.8
5.085714	13.428572	2.157143	7	2.871428	8.1	361.285706	9.6
4.4	15.271428	3.942857	7.757143	3.442857	8.085714	379.428558	10.857143
5.285714	13.557142	6.071428	8.485715	4.171428	7.914286	253.142853	10.857142
7.5	15.9	5.5	9.4	4.8	8.2	249	13.6
8.785714	11.8	4.242857	9.285714	4.585714	7.742857	444	10.914286
11.9	11.6	4.4	8.8	4.1	8	317	9.6
15.928571	11.528571	3.157143	7.8	3.457143	8.171429	257.428558	5.142857
18.299999	11.3	4.8	9.2	4.5	8	320	7.2
20.685715	9.114285	5.014286	8.771428	4.342857	8.114285	262.714294	3.657143
23.357143	8.185715	2.685714	9.3	4.857143	7.985714	258.285706	6.857143
25.757143	14.357143	6.514286	11.957143	5.428572	9.071429	239.571426	9.657143
25.799999	9.9	3.8	9.9	5.6	7.9	254	9.6
24.1	8.7	3.9	9.412499	4.8375	7.55	232	8.049999
27.606667	7.9	1.98	7.126667	3.72	7.313334	66.466667	6.24
26.433332	12.477777	4.822223	7.144444	3.977778	8.622223	150.444443	9.644444
23.585714	7.414286	0.657143	5.271429	3.085714	7.285715	118.571426	15.257143
25.6	9.6	4.9	5.7	3.6	8	178	7.6
25.114286	9.200001	3.142857	7.414286	4.128572	7.942857	268.142853	7.942857
21.285715	10.814285	4.357143	7.685714	3.642857	8.142857	255.571426	11.942857
19.200001	14.7	3.8	6.9	3.8	8.3	307	8.8
14.128572	12.742857	5.328571	7.571428	3.257143	8.314286	205.142853	13.085714
12.6	14.8	4.8	8.1	3.6	7.7	112	54
11.2	12.7	2.1	6.3	3.2	8.4	262	12.8
6.1	18.9	2.2	5.3	2.8	8.8	241	4.4
4.4	14.8	2	5	2.8	8.3	400	4.8
6.728571	17.885715	2.814286	7.385714	3.1	7.914286	354.142853	4.4
6	11.514286	4.428571	6.871428	4.185714	7.742857	381.142853	6.857143
4.585714	16.5	3.028571	7.628572	3.485714	6.371428	394.714294	7.771428
8.871428	12.485715	5.442857	8.614285	4.042857	8.3	379.428558	14
13.1	10.5	5.9	9.5	4.6	7.8	342	12.4
14.342857	8.642858	4.828571	9.442858	4.128572	7.528572	338.428558	10.400001
17	8.7	4.8	7.9	4.7	7.5	301	8.8
21.040001	11.059999	4.76	10.42	4.24	8.38	244.600006	9.92
23.9	10.1	8.2	14.3	4.9	8.1	360	14
25.828571	12.128572	5.871428	10.6	6.5	8.6	332.857147	15.200001
25.424999	9.4625	6.4375	11.325	5.85	7.825	269.75	13.15
24.799999	6.5	2.7	9.9	5.6	7.3	280	6.4
29.1	8.05	5.5	9.4	4.05	8.2	201.5	10.2
29.414286	7.657143	6.071429	9.671429	4.757143	8.014286	285	12.228571
26.037498	8.8875	4.275	9.849999	3.8375	7.5625	160.25	8.5
24.799999	8.4	3.1	6.8	3.8	8	218	6.8
23.262501	8.5375	3.65	7.45	3.925	7.4375	284.5	9.5
19.885714	10.942858	5.685714	10.342857	3.957143	7.971428	158.857147	10.971429
19.314285	8.8	3.814286	8.371428	4.014286	7.542857	341	9.2
15.7	9.242857	3.914286	10.471429	3.828571	7.714285	364.571442	8.628572
11.175	8.625	2.8125	6.6	3.625	6.9375	289.625	5.7
8.185715	11.400001	2.228571	6	3.014286	7.271429	364.714294	5.028572
7.6	12.2	1.8	5.1	2.9	7.5	336	4
5.8	17.299999	4.7	7.2	3.3	8.7	368	8.8
1.9	16.35	2.375	5.05	2.55	8.224999	333.25	4.6
3.4	13.724999	2.8125	6.175	3.175	7.7875	363.875	8.1
6.7	14.4	3.8	6.1	3.1	7.6	400	5.6
7.8	10.7	4.3	8.1	3.1	7.7	376	9.2
6.8	12.7	2.1	6.5	3.5	7.6	304	4.8
6.722222	12.622223	4.433333	6.966667	4.044444	7.677778	324.222229	7.6
12.6	9.5	3.8	8	4.1	7.5	218	43.200001
8.6	11.2	1.8	6.2	3.2	7.6	235	6
15.1	9.8	2.8	6.3	3.6	8.2	269	8.8
13.35	11.6375	6.3	10.325	4.3875	8.4625	300.5	12.3
15.5	12.5	4.8	8.3	5.3	8.1	214	7.5
18.5	11.6	6.2	8.4	5.4	7.8	284	10
15.7	7.1	4.5	6.6	5.7	6.9	201	26
19.200001	9.9	2.6	5.6	4.2	7.5	181	9.7
19.1	10.2	2.4	5.6	3.8	7.1	184	12.9
19.4	10.5	3.7	6.1	4.1	7.2	196	11.3
21	12.2	7.3	8.5	5.8	7.5	234	16.200001
22.3125	9.575	8.875	11.3	6.7625	7.5	267.25	13.6625
23.924999	7.775	5.875	9.525	6.3	7.275	293	9.400001
23.299999	7.6	4.2	7.5	5.9	6.8	320	7.7
25.200001	8.2	3	7.7	6.5	7.2	288	8.5
26	8.9	2.6	8.7	6.8	7	288	9.5
25.700001	11.7	6.7	10.9	6.9	7	136	14.6
22.700001	8.6	3.4	5.6	5.1	7	129	29.200001
28.4	10.4	5	7.8	4.9	7.7	170	12
27.6	11.1	5	7.8	5.3	7.7	227	8.6
30.6	11.6	5.2	8.8	5.8	7.7	274	13.6
34.599998	16.200001	9.7	17.200001	10.6	9.5	300	21
33.299999	11.5	7.8	17.4	8.2	8.9	285	28.5
31.6	9.5	4.7	7.9	7	7.4	271	11.1
31.6	9.5	3.7	9.3	6.5	8	298	10.5
26.200001	5.7	2.4	7.5	5.9	7.3	227	8.1
27	12.8	4.5	9.2	6.1	8.4	270	12.4
25.200001	7.8	4.5	6.7	6.4	7.6	296	6.8
21.799999	8.5	2.5	7.3	4.9	7.7	151	10.2
23.200001	10.7	4.4	7.1	5.3	7.1	243	7
23	7.3	3.8	6.1	4.8	7.3	224	8.3
18.299999	10.5	1.6	5.9	4.2	6.6	163	11.1
18.700001	7.3	2.5	5.9	3.8	8	181	16
19.200001	7	2.1	5.2	3.2	7	198	6.8
14.5	9.9	2.8	5.1	3.8	7.6	316	5.7
13.8	15.3	4.5	7.2	4	7	301	8.9
14	14.6	4.8	7.5	5.2	7.8	356	9.9
14.1	12.7	4.1	6.6	4.6	8	336	8.2
9.8	11.2	4	6	4.5	7.5	355	4.7
9.3	12.6	4.3	6.6	4.9	8	412	6.5
7.7	13.6	5	7.8	5.3	7.6	432	10.6
7.4	15	4.2	7	5.6	8.4	457	8.9
8.8	11.1	4.7	6.8	6.1	6.8	409	6.6
5.1	14	3.7	6.2	5.3	8.7	328	6.2
7	14.7	3.8	6.8	4.9	7.9	372	6.6
4.5	15.2	4.4	7.6	5.1	7	371	12
4.677778	13.955556	4.577778	6.977778	5.633333	7.533333	378.111115	9.6
4.871428	13.285714	4.685714	7.757143	5.785715	7.771429	455.285706	13.242857
5.3	15	4.9	8.1	6.7	7.9	452	11.8
6.8	13.7	6	9	7.2	7.9	402	13.8
7.3	10.6	6.9	10	7.6	8.9	461	19.4
7.6	8.1	6.5	8.9	7.1	8	353	10.7
8.7	10.4	6.3	9.4	6.4	8.1	366	14.9
9.6	10.9	6.9	9.4	7.5	8	381	12.5
11.1	12.4	7.5	10.2	8.7	8.3	444	12.6
11.5	7.9	7.6	11.1	7.1	8.2	411	10.7
16.1	12.8	7.7	10.5	7.1	7.9	353	7.2
