Date	JS	SC
10/01/2012	3	8
26/01/2012	9	9
07/02/2012	16	6
22/02/2012	4	11
12/03/2012	34	21
26/03/2012	47	118
04/04/2012	136	12
16/04/2012	638	2027
10/05/2012	3090	1416
22/05/2012	712	1379
11/06/2012	298	1014
26/06/2012	449	541
10/07/2012	987	93
23/07/2012	238	261
09/08/2012	3320	2406
21/08/2012	1188	72
12/09/2012	6	3
26/09/2012	92	93
09/10/2012	180	138
23/10/2012	1241	253
12/11/2012	684	15
27/11/2012	54	12
04/12/2012	274	15
17/12/2012	9	23
09/01/2013	49	16
22/01/2013	18	3
13/02/2013	19	3
25/02/2013	16	3
12/03/2013	169	16
28/03/2013	21	61
09/04/2013	1604	91
24/04/2013	182	653
06/05/2013	436	165
22/05/2013	1404	3415
10/06/2013	904	4266
26/06/2013	2287	544
10/07/2013	127	46
29/07/2013	587	19388
12/08/2013	298	15876
27/08/2013	103	64
10/09/2013	1734	931
25/09/2013	534	1587
08/10/2013	126	825
23/10/2013	271	919
13/11/2013	396	277
28/11/2013	2726	25
04/12/2013	488	86
17/12/2013	263	82
07/01/2014	346	270
21/01/2014	310	258
11/02/2014	126	245
24/02/2014	112	76
11/03/2014	48	487
24/03/2014	316	355
08/04/2014	115	819
21/04/2014	2375	1524
13/05/2014	1038	2786
27/05/2014	2356	2858
10/06/2014	358	1073
23/06/2014	35	466
08/07/2014	5825	306
22/07/2014	69	117
12/08/2014	4034	508
26/08/2014	66	748
01/09/2014	331	227
16/09/2014	635	3863
07/10/2014	742	2187
20/10/2014	4667	1334
11/11/2014	328	169
25/11/2014	469	518
01/12/2014	192	23
15/12/2014	119	88
12/01/2015	122	4
27/01/2015	115	3
03/02/2015	88	15
10/02/2015	721	16
10/03/2015	1386	108
23/03/2015	3040	953
07/04/2015	2096	1701
21/04/2015	277	2340
10/05/2015	2483	1551
26/05/2015	1433	1430
08/06/2015	3136	1686
23/06/2015	552	4089
07/07/2015	1379	8977
28/07/2015	573	8771
10/08/2015	206	594
25/08/2015	975	772
08/09/2015	1050	254
22/09/2015	766	1007
12/10/2015	649	1111
26/10/2015	158	389
09/11/2015	574	460
24/11/2015	949	272
07/12/2015	114	15
21/12/2015	123	30
18/01/2016	856	37
