GJ1	GJ2	NJ1	NJ2	HP
1.77	4.28	0	0	28.07
2.06	4.28	0	10.32	0
2.06	4.28	2.49	35.93	63.89
1.99	4.28	5.23	21.72	13.08
3.3	7.34	13.92	27.85	20.14
5.42	9.28	19.21	67.17	26.86
13.19	33.58	61.77	127.86	83.5
0.61	5.02	0	0	23
2.57	5.69	8.67	0	24.52
2.63	6.05	12.63	35.23	25.58
2.37	6.53	10.16	62.38	0
0.89	2.34	7.07	2.38	12.8
4.05	17.23	0	3.12	0
17.73	14.48	34.36	97.96	66.15
5.34	12.15	12.43	26.98	41.34
10.89	33.28	38.22	53.2	49.06
27.78	30.65	97.22	106.28	157.88
13.04	18.89	12.38	28.4	17.62
5.8	14.63	23.83	19.18	38.34
9.14	25.51	13.84	48.57	77.77
4.31	8.67	22.42	53.42	58.4
5.79	7.13	0	29.26	37.35
3.44	5.88	83.07	37.79	35.6
11.54	14.25	0	66.01	64.08
4.09	4.53	0	0	12.83
10.67	9.89	0	0	71.83
7.53	9.17	0	0	41.38
12.14	9.26	0	0	92.33
3.11	9.26	22.07	0	27.77
5.52	15.38	21.6	0	34.63
3.4	6.8	25.97	51.28	40.38
4.84	11.36	41.2	76.81	64.27
2.67	9.26	4.57	35.42	29.51
2.53	4.93	28.3	35.04	16.25
4.57	9.82	53.745	31.62	48.5
6.74	20.38	30.95	27.05	59.63
35.91	40.99	122.01	148.39	152.23
17.16	70.33	80.9	86.79	104.24
4.55	11.1	38.82	45.89	9.22
18.32	42.51	65.2	56.83	65.75
5.78	12.29	33.92	54.95	33.44
6.09	12.69	15.5	28.13	30.55
3.42	11.57	23.27	0	54.35
1.98	12.29	11.85	0	19.39
1.76	12.41	20.66	9.07	29.32
4.48	15	28.39	45.05	44.14
2.9	10.2	23.18	30.42	28.23
2.24	9.26	7.34	20.47	26.05
1.77	7.51	15.81	13.55	17.66
1.24	10.98	3.58	30.23	31.15
1.07	6.88	14.39	11.7	14.9
1.07	6.75	13.88	19.41	22.18
0.91	8.87	17	24.45	23.57
1.17	9.55	21.69	27.59	26.67
1.24	7.65	13.43	28.04	25.86
1.16	7.63	13.33	29.55	20.56
6.6	17.39	44.57	68.94	55.87
1.99	18.37	34.89	33.99	19.37
3.03	14.2	37.11	41.79	33.25
1.18	18.13	26	30.57	33.83
9.25	14.68	32.25	25.52	0
10.95	21.93	64.45	59.56	64.61
5.36	14	24	33.95	36.81
95.55	96.61	383.9	363.43	611.36
10.57	20.05	44.47	24.61	62.56
5.77	18.3	22.42	33.79	44.25
2.99	12.33	17.87	29.84	37.04
2.26	23.98	32.24	42.93	48.04
2.56	10.76	14.74	23.65	45.02
28.3	65.26	180.15	167.92	242.39
10.44	21.17	41.06	51.78	86.19
6.06	12.03	21.06	18.29	33.34
5.98	13.54	25.53	15.21	31.71
4.99	12.67	20.26	15.26	25.29
3.62	11.16	20.96	27.78	26.48
4.05	11.38	25.15	41.19	20.99
2.44	10.8	14.52	11.63	33.13
4.09	9.88	19.67	20.66	42.7
10.02	14.51	38.43	56.36	70.43
6.76	11.03	19.89	25.08	33.74
3.77	13.15	28.32	32.49	16.44
3.12	10.45	23.61	25.44	21.24
4.92	14.85	36.66	27.28	31.55
3.97	11.01	24.15	34.08	17.42
6.85	25.3	26.3	30.19	43.17
6.61	20.64	41.93	62.31	33.66
2.54	12.09	22.24	40.88	23.62
1.84	25.37	28.29	20.86	45.43
5.92	11.38	26.6	22.18	34.78
5.69	12.5	30.71	16.08	17.71
6.48	11.19	21.22	23.57	31.52
1.61	10.86	19.14	18.5	32.62
3.61	12.14	20.96	36.43	37.48
4.52	11.68	19.13	15.86	26.55
6.48	12.33	22.24	27.04	31.75
5.7	13.16	32.25	24.91	42.43
2.16	12.05	20.3	27.27	40.92
2.58	16.5	24.95	17.01	36.51
7.87	15.05	32.21	24.94	50.31
2.94	11.1	29.23	36.55	56.82
13.22	21.51	40.8	41.21	82.45
5.49	13.58	22.56	28.77	31.6
4.23	12.9	21.05	36.72	42.88
23.22	29.25	84.8	93.98	116.89
6.9	12.81	24.59	21.21	41.89
5.54	11.58	23.12	34.77	37.32
3.62	11.15	25.69	41.59	24.81
2.47	13.28	20.85	31.51	23.15
7.95	14.97	28.83	45.75	39.17
24.6	29.32	88.96	113.98	123.53
11.75	16.01	40.4	87.79	51.03
14.36	25.51	56.19	70.21	83.22
8.23	15.81	38.91	35.41	39.49
9.2	27.78	32.08	62.51	59.21
5.04	13.86	40.54	38.07	38.58
7.08	13.42	23.71	44.14	39.91
8.85	20.4	29.16	46.8	56.97
5.15	15.98	26.82	78.39	34.44
7.36	25.5	40.05	48.04	34.33
5.19	13.65	28.63	37.73	29.09
78.5	80.26	230.02	253.87	284.49
11.8	12.64	51.73	79.46	49.36
7.85	13.87	30.93	48.54	57.23
4.76	17.37	31.2	50.88	28.53
5.71	11.65	22.18	38.3	15.34
16.3	19.4	38.81	49.32	32.93
4.57	14.47	27.92	43.46	58.32
4.99	14.11	23.61	43.3	30.38
5.02	17.08	25.19	25.56	59.46
17.39	33	32.62	56.68	51.4
4.96	19.41	26.01	26.09	44.83
15.2	27.32	35.13	28.94	47.79
4.53	15.24	25.7	16.68	5.46
15.96	23.11	58.38	76.46	149.13
17.87	24.75	68.09	62.64	106.41
16.55	32.33	70.31	76.24	120.5
7.3	14.56	29.95	26.84	37.6
5.28	13.66	22.59	17.91	52.95
3.83	12.69	23.38	31.2	23.74
3.9	10.97	22.67	30.47	31.19
3.69	11.24	23.74	27.85	34.92
3.03	11.59	22.47	22	28.81
2.59	11.12	22.37	25.69	25.37
2.44	10.08	19.37	19.3	18.84
2.68	13.38	21.64	24.4	24.56
4.21	17.9	24.56	26.45	39.44
3.44	9.69	23.76	19.82	30.45
2.95	9.45	13.73	25.36	39.1
2.4	9.59	18.64	8.79	27.37
2.39	9.3	15.73	11.92	19.05
2.19	9.7	13.98	14.12	15.92
2.35	9.38	14.13	14.8	30.33
2.39	9.27	17.43	22.14	27.69
2.81	14.13	19.79	42.3	39.16
4.69	9.56	28.51	34.5	35.94
3.1	8.65	8.11	3.3	0
2.27	9.36	19.79	16.1	36.12
2.66	0	15.23	11.8	14.94
2.06	7.63	25.19	21.81	27.21
1.66	9.1	15.76	32.66	27.67
3.97	10.73	19.71	19.97	35.28
2.53	14.57	24.96	41.06	23.31
2.03	11.36	33.46	41.98	26.85
1.32	10.3	22.73	12.57	29.9
0.96	9.4	19.17	20.9	18.46
1.06	9.14	18.38	39.65	16.88
2.97	12.7	28.25	18.97	7.91
3.49	10.53	24.5	26.21	17.73
3.86	11.53	24.39	17.3	20.61
2.76	14.98	25.88	24.38	25.67
1.62	12.01	19.42	23.89	5.78
23.77	22.52	110.84	102.86	95.66
3.51	32.02	49.1	63.04	41.8
8.62	22.59	42.93	39.01	27.03
16.49	22.55	36.39	47.87	52.52
3.82	11.69	31.21	0	14.28
16.44	51.31	90.13	101.9	105.67
2.37	10.13	12.38	32.85	25.65
20.56	61.07	113.75	117.28	158
47.88	136.55	327	322.54	391.82
11.42	15.25	46.32	54.27	0
5.37	11.92	26.31	18.22	18.88
49.37	56.54	187.74	168.99	220.87
4.27	11.02	21.01	36.99	34.83
4.21	10.15	24.19	23.35	21.19
10.33	10.67	32.21	31.41	35.11
3.78	10.11	20.15	10.23	20.16
2.91	9.15	19.63	14.21	18.76
2.3	10.12	13.68	11.94	15.85
2.08	11.21	11.8	15.91	23.24
2.02	9.02	21.99	25.76	39.52
1.47	0	16.82	12.33	17.37
1.67	0	13.77	16.66	23.3
1.16	7.98	10.78	8.44	10.45
1.59	7.94	12.69	15.15	26.35
1.4	7.86	18.69	12.03	19.08
2.71	8.14	14.69	12.37	30.78
1.67	0	13.08	7.07	12.13
1.49	8.09	13.12	15	17.92
1.79	11.02	18.78	10.68	20.37
2.88	9.59	21.46	28.14	24.35
1.43	7.03	14.77	10.11	10.52
1.24	7.28	12.8	13.48	13.69
1.57	8.51	17.01	20.46	19.63
1.69	6.53	13.22	13.71	22.08
1.49	7.1	14.67	15.1	21.79
4.38	15.71	23.2	22.29	36.21
5.59	10.02	25.62	31.01	30.45
21.24	63.19	219.73	282.38	300.19
4.93	0	32.21	33.1	35.85
3.8	0	22.74	34.34	40.27
8.84	17.12	38.72	40.05	56.27
7.21	13.38	33.44	34	42.77
18	59.43	130.72	146.57	175.48
6.29	15.49	33.09	23.25	45.96
14.92	22.74	76.69	76.81	83.89
11.17	18.4	51.25	44.71	56.98
4.81	10.94	25.86	19.42	24.57
5.34	12.68	27.67	32.02	34.01
4.41	11.54	26.51	23.72	12.61
4.48	16.21	29.88	26.11	42.92
3.3	8.85	24.9	25.56	32.09
3.53	9.24	14.32	15.63	35.48
216.93	170.6	479.99	526.53	609.55
12.31	17.58	32.89	32.91	66.39
4.89	14.69	23.92	20.57	7.37
1.77	8.21	11.66	14.28	24.31
3.67	10.53	17.42	17.65	8.19
1.46	5.89	16.28	11.93	10.35
4.64	13.68	14.7	18.19	34.23
1.4	7.03	6.07	9	15.62
102.05	175.52	585.4	308.89	984.87
15.85	28.67	94.25	102.99	0
5.26	13.16	25.62	29.84	35.2
6.87	16.79	38.31	36.62	37.38
5.39	9.31	29.34	23.68	53.02
3.52	7.62	23.22	26.9	32.05
17.61	19.96	97.38	46.11	116.5
6.16	8.98	34.83	20.1	30.71
4.42	7.62	27.48	16.71	27.07
3.43	8.45	35.69	64.53	79.44
2.28	6.38	14.63	0	25.26
4.57	12.55	28.36	0	34.76
2.62	9.42	12.9	0	23.13
2.91	9.23	16.03	0	19.54
2.6	0	22.23	0	17.55
3.05	0	20.27	0	24.12
2.49	0	15.16	0	20.99
2.41	0	14.33	0	18.46
1.91	7.93	16.48	17.34	12.68
1.91	8.26	14.29	14.04	20.48
1.57	8.67	14.6	14.5	16.59
1.53	8.58	12.88	11.52	23.96
2.28	8.85	18.86	20.54	20.78
1.97	8.89	14.37	13.76	8
1.91	7.93	15.7	16.22	15.98
2.42	8.43	16.01	16.78	27.14
1.81	7.27	16.79	17.87	34.22
1.44	8.35	14.87	15.11	29.4
1.44	7.78	16.21	17.03	25.94
2.33	8.47	16.71	0	20.52
1.25	4.74	10.94	31.24	16.58
1.45	6.08	13.41	14.08	29.82
4.4	10.33	24.66	26.69	37.11
2.3	7.97	16.07	11.03	38.03
6.53	23.89	49.57	66.63	72
1.55	7.93	14.07	16.67	27.4
1.35	6.68	15.99	20.03	11.28
5.6	14.03	28.84	35.13	58.48
11.8	24.45	61.28	63.4	80.85
4.53	14.81	34.09	48.87	43.09
5.44	16.46	35.13	30.98	47.05
1.89	8.15	17.29	26.89	27.47
3.52	11.24	23.22	36.33	18.41
8.55	28.58	75.13	95.83	91.85
5.75	16.09	31.36	25.59	38.39
2.48	9.6	23.18	28.62	21.82
17.17	27.79	77.67	122.69	97.45
18.74	57.3	98.23	122.59	129.29
2.39	9.53	16.08	19.33	4.78
103.71	36.83	211.37	304.73	346.78
5.07	11.03	21.44	19.08	24.97
12.93	18.52	36.32	37.05	49.85
14.97	16.31	58.01	58.63	78.74
