GJ1	GJ2	NJ1	NJ2	HP
12.39	42.43	33.580001	137.960001	98.5
12.97	29.96	4.81479	72.510001	0
14.42	29.96	31.92	141.290002	118.489999
14.35	29.96	52.75	156.670002	120.879999
26.85	70.81	80.690912	178.670001	296.910002
30.29	96.939999	134.538179	274.399996	209.957271
51.35	169.779999	370.099996	644.300003	812.729991
13.27	41.7	16.43	409.547492	134.08
25.5	41.85	119.39	422.289993	305.960001
20.86	44.59	110.580001	309.399999	309.649998
28.79	69.99	66.930001	288.369997	299.900005
7.05	23.37	86.509998	309.479999	125.460002
88.28	174.270004	202.089999	432.280005	513.013323
336.389998	368.340007	1164.86998	1418.319969	1737.269998
33.13	99.75	115.74	156.17	199.400001
190.089997	214.259996	488.730006	669.010007	795.280003
269.710002	714.489981	2074.750029	2218.230043	2698.279938
219.609998	169.779997	394.880003	526.049994	737.669993
59.07	99.029999	92.750001	241.159999	302.449996
24.55	106.539998	98.149999	234.790004	272.770001
25.71	63.38	18.45	248.239993	265.850002
34.7	50.26	0	199.220002	145.399999
28.88	44.38	256.26	170.880003	182.499998
70.51	106.48	138.400002	274.579999	476.8
29.78	33.85	0	175.765389	165.470002
31.81	67.77	0	185.765384	241.320001
72.16	86.46	0	202.68847	396.740002
87.45	81.27	0	211.919238	320.160004
21.72	69.38	184.810003	223.457689	208.059998
49.02	96.140002	216.91	235.765397	325.680004
33.99	70.61	181.1	237.879999	241.620005
21.75	79.970001	176.000004	212.869999	221.119998
27.23	81.570001	152.540001	273.919998	225.149996
19.48	65.690001	219.979999	326.89	217.809998
31.44	73.68	357.09	262.439999	256.91
49.6	150.03	341.910004	430.569996	448.600002
959.880023	1425.650014	4830.670005	5128.530059	6147.64009
89.619999	194.150003	391.830002	559.019992	419.15
49.47	138.2	351.63001	558.589996	312.210004
333.01999	532.139996	1190.540001	1194.96999	1426.630038
54.9	116.870001	215.129997	234.510002	345.669998
39.04	92.53	153.649998	143.18	208.989999
36.35	73.02	138.850002	52.120003	248.459997
14.5	72.27	85.55	70.060001	161.96
13.53	158.020004	105.029999	9.15	118.309998
26.72	151.099998	221.059998	319.939998	326.669997
29	96.13	153.019997	194.959998	312.279997
18.83	71.22	95.93	178.439997	177.569998
13.88	54.82	98.22	140.420002	183.749999
8.68	59.78	67.93	129.980001	174.65
7.17	61.31	70.02	89.57	121.749998
7.49	54.44	78.47	105.75	164.200001
6.56	65.1	58.87	137.880001	155.199999
9.64	69.07	98.690002	197.370003	220.939999
12.13	68.81	94.69	195.970002	240.790002
9.33	81.309999	119.889999	183.26	164.569998
25.74	114.349999	209.93	295.180004	293.399998
18.99	108.96	204.080002	294.540002	189.369999
35.03	107.810001	243.119997	264.340007	252.269999
17.33	96.709999	185.390002	218.319998	192.4
61.71	161.1	282.570002	208.379998	290.185001
286.409995	603.689999	2429.359957	2464.710047	3260.779971
90.789998	168.93	367.740004	319.190004	580.879997
349.390008	494.129997	1568.489969	1496.879982	2356.539992
223.550005	283.730004	872.189992	747.609994	1270.609984
34.28	113.589998	142.72	163.83	221.09
25.32	120.770001	153.589998	187.710002	270.959994
14.15	92.72	128.900001	161.880002	189.880001
21.69	88.23	119.070001	178.539997	243.399997
56.939999	183.75	344.479992	370.129996	527.390004
89.249999	189.560003	447.419997	401.539993	692.549994
47.13	97.2	154.749997	147.049999	273.010006
63.47	109.38	162.180001	164.080001	284.800003
31.65	84.82	168.6	151.08	237.130001
30.65	80.96	137.449999	137.530002	166.469999
26.47	77.69	146.730001	165.519998	178.809999
23.98	71.09	131.9	134.07	189.080002
32.1	97.030001	184.779998	244.530002	232.77
46.18	118.990001	260.659999	284.72	323.999999
46.03	87.805	188.329998	220.600001	249.809999
44.16	92.94	197.939999	236.680003	229.450002
24.23	81.76	155.689999	234.440002	184.729997
37.69	108.069999	219.109999	200.410005	204.600003
43.67	152.419997	267.690001	293.740005	255.779998
42.58	114.759998	209.829996	290.459997	200.430002
72.45	145.720001	324.190002	365.710003	239.189999
21.3	120	194.810002	215.039998	127.360003
75.04	196.949999	397.279996	328.069999	492.050001
48.49	173.280001	300.94	248.069998	395.130001
23.98	78.21	153.750003	158.059999	155.889998
35.49	78.32	166.669998	197.559997	185.46
11.93	70.66	133.269997	163.600003	96.47
15.54	85.33	165.14	204.590002	180.66
50.45	104.63	234.099994	218.669996	365.100002
46.08	97.809999	187.35	263.239999	255.390004
42.55	89.29	195.039999	183.219999	241.279999
14.7	80.36	152.21	186.900002	158.349995
16.72	89.22	166.330001	157.020001	184.24
52.08	146.709999	368.159999	296.940005	489.339997
