TN	T-P	DIN	NH4	NO3	DIP	PO4
9.742	0.604	9.136	1.274362586	4.338	0.496	0.651152824
9.305	0.37	8.987	2.131196847	2.931	0.258	0.473286383
9.101857	0.409143	8.057858	2.00124961	3.313428	0.292857	0.499428674
9.078571	0.502143	8.764	2.203374004	2.562143	0.418714	0.637629203
13.637751	0.68125	13.0315	2.984711041	2.0845	0.59025	0.76501634
9.046857	0.584	8.769286	2.476460579	1.73	0.537	0.680546104
4.186714	0.091286	3.889	0.907035832	2.899571	0.046429	0.19530233
4.921	0.197	4.62	1.246595363	2.591	0.141	0.371483512
5.3545	0.2908	4.6678	1.484486443	1.6692	0.2039	0.437835586
5.821	0.249625	5.598375	1.849425586	1.592875	0.233625	0.356370594
5.766	0.167	5.604	1.323631369	1.36	0.121	0.343511281
4.939571	0.263143	4.745143	1.365336222	1.262286	0.198571	0.40017871
2.975571	0.140714	2.874857	0.517135379	1.623	0.075571	0.236945141
3.032	0.114	2.83	0.470106371	2.149	0.067	0.244948974
3.952857	0.179	3.718714	1.043072385	1.573857	0.120143	0.320490249
2.256429	0.107	2.094571	0.342886279	1.416286	0.098714	0.303315018
2.486625	0.07725	2.2465	0.621691242	1.430875	0.061625	0.235849528
3.044714	0.06	2.975286	0.578051036	2.410714	0.026286	0.099282425
3.797	0.030714	3.554286	0.660735197	2.622571	0.025143	0.076531039
3.977	0.0385	3.888143	0.587732082	3.386857	0.011571	0.093348808
5.12	0.155	5.107	0.967987603	3.226	0.105	0.288097206
4.89	0.064	4.36	0.822800097	3.565	0.034	0.181659021
5.416286	0.074429	5.368143	1.169187752	3.590714	0.038143	0.177282261
4.203	0.129	4.131	1.172177461	2.649	0.1	0.313049517
4.379571	0.098857	4.261857	0.773119654	3.387286	0.081714	0.23207111
5.672714	0.091143	5.404428	1.420009859	3.236429	0.076143	0.243780639
4.985167	0.134	4.623333	1.2523977	2.4535	0.0965	0.293824778
5.176	0.108	5.166	1.658613879	2.002	0.09	0.296647939
5.00825	0.0995	4.79225	1.620725146	2.110125	0.036	0.15
4.976285	0.103857	4.877285	1.426283983	2.111857	0.077714	0.254389465
6.768714	0.077	6.692571	1.700546089	1.950571	0.033429	0.071714713
6.509429	0.063571	6.42	1.867963062	1.753429	0.043	0.145897224
5.306	0.067	5.088	1.564288976	1.444	0.043	0.104880885
4.690444	0.138889	4.608	1.620596495	1.182333	0.102667	0.301478026
4.856	0.116	4.764	1.542400726	1.687	0.103	0.3082207
3.676	0.125714	3.456286	0.908531232	1.744571	0.071	0.23207111
2.587429	0.128714	2.515286	0.549675359	1.710714	0.092286	0.295442042
3.473875	0.118	3.329625	0.941607668	1.546375	0.085625	0.271339271
2.524	0.168	2.115	0.428952212	1.146	0.091	0.250998008
2.236	0.131	2.206572	0.451821868	1.568857	0.112857	0.317354691
3.146	0.118	2.969	0.68556546	1.789	0.064	0.181659021
2.96975	0.08575	2.88875	0.66988805	1.72225	0.05025	0.183030052
3.732857	0.041857	3.690714	0.915267174	1.986286	0.029714	0.14832397
4.255	0.038833	4.141333	0.722380094	2.579833	0.031667	0.081651699
5.150714	0.072571	4.993714	1.133578405	2.912	0.036143	0.143923591
5.467714	0.112	5.401429	1.31415372	3.057286	0.07	0.26186065
4.745429	0.119429	4.664571	1.129917696	2.413857	0.090286	0.294229502
6.322625	0.05	6.29925	1.33130575	3.653125	0.01725	0.093541435
7.421714	0.052	7.194571	1.443359276	4.061	0.012857	0.092579695
7.790857	0.072857	7.638857	1.524935736	4.838857	0.020571	0.071714713
8.565286	0.076	8.247714	2.003782174	3.298429	0.024714	0.066550733
9.955	0.067	9.679	2.273103605	2.941	0.027	0.077459667
9.306428	0.070429	9.106143	2.273920403	2.313571	0.038429	0.129282636
4.841	0.068	4.696	1.596558799	1.609	0.042	0.170293864
4.373	0.097714	4.110714	1.30082397	1.484	0.058	0.225197691
5.807	0.063	5.364	1.646207763	1.625	0.027	0.144913767
4.490857	0.061143	4.356	1.263894378	1.553714	0.036	0.151657509
4.381571	0.105	4.313285	1.482420993	1.173571	0.085143	0.290566688
4.422429	0.147286	4.353571	1.202675767	1.184143	0.115571	0.33187799
3.937	0.108	3.6	1.304223907	1.349	0.067	0.212132034
3.714125	0.13475	3.63375	1.336553403	0.88625	0.097375	0.280178515
2.687067	0.164467	2.673133	0.65130638	1.633333	0.125867	0.336749165
2.544444	0.092222	2.272667	0.531873105	1.491111	0.04	0.13622041
2.362857	0.129714	2.298286	0.485798312	1.414286	0.117429	0.309607816
2.992	0.098	2.881	0.466904701	1.81	0.047	0.151657509
3.688428	0.071	3.412	0.846674081	2.074286	0.022857	0.06436614
3.363714	0.061714	3.108	0.704982269	2.098571	0.010571	0.077459667
4.175	0.051	4.015	0.643428318	2.92	0.022	0.070710678
3.875	0.061714	3.755714	0.649395103	2.607143	0.014429	0
3.053	0.188	2.839	0.91214034	1.55	0.129	0.356370594
3.717	0.137	3.581	0.953939201	2.22	0.097	0.3
5.761	0.106	5.742	1.210784869	3.04	0.088	0.277488739
4.792	0.089	4.688	1.230853363	2.622	0.071	0.230217289
6.653286	0.071857	6.523143	1.672423391	2.696857	0.047143	0.210102356
6.757429	0.093143	6.636714	1.65339469	2.494	0.061571	0.207364414
6.867857	0.081714	6.679286	1.623444178	2.515572	0.037	0.17928469
6.880428	0.085714	6.643286	1.807247354	2.292714	0.022857	0.070710678
6.121	0.1	5.475	1.761533423	1.915	0.045	0.14832397
6.644143	0.125571	6.314	1.876432786	1.519857	0.097714	0.273600073
4.674	0.104	4.441	1.521512405	1.424	0.066	0.20976177
3.3354	0.0698	3.1484	0.832105763	1.5254	0.0302	0.113137085
4.81	0.08	4.479	1.401784577	1.148	0.031	0.063245553
4.405571	0.068286	4.198429	1.270939023	1.385143	0.032571	0.1
3.492625	0.080375	3.29075	0.991085264	1.37	0.03675	0.098107084
3.995	0.113	3.979	1.231665539	1.261	0.087	0.264575131
2.751	0.1155	2.488	0.736885337	1.3585	0.0795	0.261725047
3.684429	0.102286	3.518	1.20172501	1.262	0.073286	0.216464778
1.872375	0.109	1.82325	0.59947894	0.884625	0.085125	0.288963666
2.321	0.125	2.215	0.793725393	0.984	0.089	0.281069386
3.368	0.062	3.263625	0.806225775	2.232	0.02525	0.120933866
3.003428	0.05	2.901428	0.673265178	1.839429	0.033143	0.120710397
4.490571	0.067714	4.158714	0.916593149	2.529	0.031429	0.138874044
4.754143	0.101857	4.668	1.00384959	3.599857	0.083429	0.251282709
3.823125	0.15125	3.812625	1.130320751	2.293625	0.13075	0.361766499
4.633857	0.136571	4.586572	1.077032961	2.976429	0.106429	0.327980182
4.49	0.117	4.49	0.859651092	3.498	0.096	0.298328678
6.355	0.049	6.115	1.060188662	4.57	0.024	0.144913767
4.36475	0.10125	4.295	0.664642761	3.4715	0.07675	0.253475837
4.126625	0.124375	4.07	0.892258371	2.54275	0.098625	0.282621655
5.044	0.103	4.899	1.087658034	3.021	0.082	0.256904652
5.04	0.155	5.015	1.387804021	2.28	0.121	0.324037035
4.517	0.107	4.374	1.044030651	2.555	0.077	0.270185122
4.837444	0.117111	4.529555	1.049232577	2.824111	0.059889	0.226322778
3.405	0.158	3.151	0.939680797	1.669	0.085	0.270185122
3.918	0.119	3.749	0.9	2.332	0.095	0.293257566
3.935	0.093	3.899	0.78612976	2.416	0.051	0.178885438
4.515125	0.058	4.255125	0.903188795	2.53675	0.023	0.100623059
4.443	0.083	4.19	0.891066776	2.817	0.052	0.1
2.784	0.136	2.564	0.622093241	1.833	0.073	0.194935887
2.882	0.19	2.679	0.92141196	1.545	0.084	0.228035085
2.597	0.1	2.369	0.589067059	1.776	0.043	0.070710678
2.688	0.114	2.555	0.596657356	1.882	0.076	0.197484177
2.675	0.093	2.484	0.547722558	1.726	0.03	0.167332005
2.845	0.113	2.636	0.6164414	1.611	0.052	0.204939015
3.500375	0.21975	3.251125	0.766974576	1.979375	0.10275	0.280624304
3.567	0.145	3.27375	1.043910916	1.48975	0.06725	0.23558438
4.651	0.129	4.325	1.246996391	1.806	0.083	0.252982213
3.544	0.11	3.397	0.883742044	2.074	0.067	0.223606798
3.527	0.095	3.456	1.130928822	1.469	0.055	0.18973666
2.976	0.178	2.494	0.623698645	1.737	0.079	0.260768096
2.605	0.172	2.545	0.651152824	1.386	0.09	0.289827535
2.616	0.166	2.381	0.440454311	1.899	0.074	0.264575131
3.145	0.139	2.818	0.886002257	1.495	0.081	0.273861279
3.11	0.145	2.709	0.773950903	1.427	0.068	0.178885438
2.697	0.189	1.848	0.141421356	1.264	0.053	0.118321596
2.732	0.204	1.944	0.372827038	1.039	0.036	0.130384048
2.707	0.197	2.678	0.911592014	1.046	0.12	0.346410162
2.839	0.121	2.772	0.913783344	1.034	0.068	0.225831796
3.168	0.215	2.994	1.151520734	1.019	0.167	0.382099463
2.625	0.08	2.422	0.664830806	1.435	0.046	0.2
3.077	0.125	3.048	1.016857906	1.28	0.052	0.221359436
3.027	0.186	2.954	0.7	1.684	0.141	0.340587727
3.289	0.141	3.149	0.614003257	2.36	0.069	0.232379001
2.996	0.185	2.92	0.959166305	1.672	0.152	0.363318042
1.993	0.144	1.943	0.578791845	1.404	0.12	0.320936131
2.417	0.187	2.289	0.572712843	1.45	0.108	0.3
3.114	0.143	3.011	0.7183314	1.122	0.06	0.242899156
4.102	0.135	3.981	0.705691151	1.737	0.102	0.279284801
4.801	0.134	4.419	0.982344135	2.676	0.064	0.20976177
4.677	0.133	4.638	1.018331969	3.156	0.044	0.130384048
4.417	0.158	4.336	1.005982107	2.753	0.088	0.204939015
5.007	0.119	4.925	1.284912448	2.908	0.083	0.264575131
5.751	0.113	5.521	1.167904106	3.527	0.064	0.223606798
5.906	0.105	5.558	1.150651989	3.502	0.028	0.070710678
6.01	0.068	5.55	0.991967741	3.791	0.022	0.070710678
5.778	0.144	5.277	1.266491216	3.078	0.076	0.202484567
4.934	0.147	4.764	1.150651989	2.733	0.089	0.262678511
5.849	0.103	5.574	1.199583261	3.286	0.031	0.104880885
